sample,X,Y,Z,radii,Station,Latitude (N),Longitude (E),Depth (m),Temperature (C),Salinity (psu),Oxygen (mL/L),Fluorescence (mg/m^3),Turbidity (V),Nitrate (uM),Phosphate (uM),Silicate (uM),InverseSimpson,Shannon,Pielou,Richness,ko00010: Glycolysis / Gluconeogenesis,ko00020: Citrate cycle (TCA cycle),ko00030: Pentose phosphate pathway,ko00040: Pentose and glucuronate interconversions,ko00051: Fructose and mannose metabolism,ko00052: Galactose metabolism,ko00053: Ascorbate and aldarate metabolism,ko00061: Fatty acid biosynthesis,ko00071: Fatty acid metabolism,ko00072: Synthesis and degradation of ketone bodies,ko00100: Steroid biosynthesis,ko00130: Ubiquinone and other terpenoid-quinone biosynthesis,ko00140: Steroid hormone biosynthesis,ko00190: Oxidative phosphorylation,ko00195: Photosynthesis,ko00196: Photosynthesis - antenna proteins,ko00230: Purine metabolism,ko00240: Pyrimidine metabolism,"ko00250: Alanine, aspartate and glutamate metabolism","ko00260: Glycine, serine and threonine metabolism",ko00270: Cysteine and methionine metabolism,"ko00280: Valine, leucine and isoleucine degradation",ko00281: Geraniol degradation,"ko00290: Valine, leucine and isoleucine biosynthesis",ko00300: Lysine biosynthesis,ko00310: Lysine degradation,ko00311: Penicillin and cephalosporin biosynthesis,ko00330: Arginine and proline metabolism,ko00340: Histidine metabolism,ko00350: Tyrosine metabolism,ko00360: Phenylalanine metabolism,ko00361: Chlorocyclohexane and chlorobenzene degradation,ko00362: Benzoate degradation,ko00363: Bisphenol degradation,ko00380: Tryptophan metabolism,"ko00400: Phenylalanine, tyrosine and tryptophan biosynthesis",ko00410: beta-Alanine metabolism,ko00430: Taurine and hypotaurine metabolism,ko00440: Phosphonate and phosphinate metabolism,ko00450: Selenocompound metabolism,ko00460: Cyanoamino acid metabolism,ko00471: D-Glutamine and D-glutamate metabolism,ko00473: D-Alanine metabolism,ko00480: Glutathione metabolism,ko00500: Starch and sucrose metabolism,ko00510: N-Glycan biosynthesis,ko00511: Other glycan degradation,ko00520: Amino sugar and nucleotide sugar metabolism,ko00521: Streptomycin biosynthesis,"ko00522: Biosynthesis of 12-, 14- and 16-membered macrolides",ko00523: Polyketide sugar unit biosynthesis,ko00531: Glycosaminoglycan degradation,ko00540: Lipopolysaccharide biosynthesis,ko00550: Peptidoglycan biosynthesis,ko00561: Glycerolipid metabolism,ko00562: Inositol phosphate metabolism,ko00564: Glycerophospholipid metabolism,ko00565: Ether lipid metabolism,ko00590: Arachidonic acid metabolism,ko00591: Linoleic acid metabolism,ko00600: Sphingolipid metabolism,ko00620: Pyruvate metabolism,ko00624: Polycyclic aromatic hydrocarbon degradation,ko00625: Chloroalkane and chloroalkene degradation,ko00626: Naphthalene degradation,ko00627: Aminobenzoate degradation,ko00630: Glyoxylate and dicarboxylate metabolism,ko00633: Nitrotoluene degradation,ko00640: Propanoate metabolism,ko00643: Styrene degradation,ko00650: Butanoate metabolism,ko00660: C5-Branched dibasic acid metabolism,ko00670: One carbon pool by folate,ko00680: Methane metabolism,ko00710: Carbon fixation in photosynthetic organisms,ko00720: Carbon fixation pathways in prokaryotes,ko00730: Thiamine metabolism,ko00740: Riboflavin metabolism,ko00750: Vitamin B6 metabolism,ko00760: Nicotinate and nicotinamide metabolism,ko00770: Pantothenate and CoA biosynthesis,ko00780: Biotin metabolism,ko00785: Lipoic acid metabolism,ko00790: Folate biosynthesis,ko00791: Atrazine degradation,ko00830: Retinol metabolism,ko00860: Porphyrin and chlorophyll metabolism,ko00900: Terpenoid backbone biosynthesis,ko00903: Limonene and pinene degradation,ko00906: Carotenoid biosynthesis,ko00908: Zeatin biosynthesis,ko00910: Nitrogen metabolism,ko00920: Sulfur metabolism,ko00930: Caprolactam degradation,ko00940: Phenylpropanoid biosynthesis,ko00941: Flavonoid biosynthesis,"ko00960: Tropane, piperidine and pyridine alkaloid biosynthesis",ko00970: Aminoacyl-tRNA biosynthesis,ko00983: Drug metabolism - other enzymes,ko01040: Biosynthesis of unsaturated fatty acids,ko01053: Biosynthesis of siderophore group nonribosomal peptides,ko02010: ABC transporters,ko02020: Two-component system,ko02030: Bacterial chemotaxis,ko02040: Flagellar assembly,ko02060: Phosphotransferase system (PTS),ko03008: Ribosome biogenesis in eukaryotes,ko03010: Ribosome,ko03013: RNA transport,ko03015: mRNA surveillance pathway,ko03018: RNA degradation,ko03020: RNA polymerase,ko03022: Basal transcription factors,ko03030: DNA replication,ko03050: Proteasome,ko03060: Protein export,ko03070: Bacterial secretion system,ko03410: Base excision repair,ko03420: Nucleotide excision repair,ko03430: Mismatch repair,ko03440: Homologous recombination,ko03450: Non-homologous end-joining,ko04112: Cell cycle - Caulobacter,ko04113: Meiosis - yeast,ko04122: Sulfur relay system,ko04141: Protein processing in endoplasmic reticulum,ko04146: Peroxisome,ko04210: Apoptosis,ko04621: NOD-like receptor signaling pathway,ko04626: Plant-pathogen interaction,ko04910: Insulin signaling pathway,ko04974: Protein digestion and absorption,ko04976: Bile secretion,ko05010: Alzheimer's disease,ko05110: Vibrio cholerae infection,ko05111: Vibrio cholerae pathogenic cycle,ko05120: Epithelial cell signaling in Helicobacter pylori infection,ko05142: Chagas disease (American trypanosomiasis),ko05143: African trypanosomiasis,ko05145: Toxoplasmosis,ko05146: Amoebiasis
sample11,795,318,0,16,34,18.58,40.743,25,30.867,38.937,4.585,0.012,0.2469,2.18,0.25,2.0693,0.0560023,36.3556,7.34642,39.5757,0.3875,0.566038,0.568182,0.235294,0.409091,0.192982,0.142857,0.538462,0.340426,0.125,0,0.410256,0.0285714,0.300971,0.666667,0.0487805,0.35443,0.4,0.555556,0.686567,0.530303,0.561404,0.25,0.818182,0.5,0.259259,0.142857,0.408,0.473684,0.262295,0.27451,0.105263,0.186667,0.0833333,0.241935,0.451613,0.451613,0.375,0.111111,0.827586,0,0.666667,0.6,0.421053,0.253165,0.0454545,0.0625,0.345794,0.529412,0,0.03125,0,0.5,0.459459,0.190476,0.2,0.1875,0,0.0740741,0.0909091,0.025,0.479452,0.117647,0.346154,0.285714,0.237288,0.621212,0.0909091,0.484848,0.0555556,0.478261,0.666667,0.592593,0.236559,0.0833333,0.58209,0.47619,0.347826,0.4,0.542857,0.586207,0.6,0.75,0.5,0.142857,0.0857143,0.552381,0.514286,0.47619,0.272727,0.125,0.252525,0.65625,0.428571,0.2,0.05,0.26087,0.515625,0.454545,0.206897,0.03125,0.316923,0.130435,0.153846,0.390244,0.0266667,0.0243902,0.472222,0.0606061,0,0.24,0.288136,0.0769231,0.27451,0.0625,0.435897,0.243243,0.341463,0.166667,0.4,0.355932,0,0.322581,0.010101,0.571429,0.0145985,0.157143,0.016129,0,0.0285714,0.038961,0.0204082,0.0172414,0.0357143,0,0.047619,0,0.0246914,0.0571429,0.0107527,0
sample12,795,390,0,16,34,18.58,40.743,50,21.57,37.014,1.288,1.0967,0.2893,17.5,1.34,14.505,0.0565247,36.0045,7.27545,39.2888,0.4,0.54717,0.590909,0.235294,0.318182,0.192982,0.114286,0.538462,0.361702,0.125,0,0.333333,0.0571429,0.291262,0.174603,0,0.392405,0.44,0.555556,0.671642,0.515152,0.596491,0.1875,0.818182,0.525,0.222222,0.142857,0.44,0.526316,0.295082,0.294118,0.0526316,0.16,0.0833333,0.274194,0.451613,0.451613,0.4375,0.111111,0.827586,0.285714,0.666667,0.6,0.421053,0.227848,0.0681818,0.0625,0.364486,0.529412,0,0.03125,0,0.533333,0.459459,0.15873,0.2,0.1875,0,0.0740741,0,0.025,0.534247,0,0.346154,0.321429,0.237288,0.545455,0.181818,0.515152,0,0.434783,0.583333,0.592593,0.263441,0.111111,0.58209,0.47619,0.391304,0.6,0.542857,0.586207,0.6,0.5,0.458333,0.142857,0.0857143,0.466667,0.571429,0.52381,0.151515,0.125,0.282828,0.59375,0.428571,0,0.05,0.173913,0.515625,0.409091,0.206897,0,0.286154,0.142857,0.153846,0.292683,0.0266667,0.0487805,0.548611,0.0681818,0.0377358,0.266667,0.40678,0.115385,0.333333,0.0625,0.512821,0.243243,0.390244,0.208333,0.422222,0.372881,0,0.322581,0.010101,0.714286,0.0437956,0.142857,0.016129,0,0.0285714,0.0519481,0.0408163,0.0172414,0.0357143,0.0212766,0.047619,0,0.0246914,0.0285714,0.0107527,0.0128205
sample13,795,463,0,16,34,18.58,40.743,100,22.382,38.435,1.932,0.0336,0.25,9.97,0.71,15.2,0.0577899,35.8241,7.23901,38.5696,0.4375,0.641509,0.568182,0.235294,0.287879,0.210526,0.114286,0.538462,0.340426,0.125,0.0322581,0.333333,0.0571429,0.286408,0.031746,0,0.400844,0.453333,0.574074,0.671642,0.515152,0.596491,0.1875,0.863636,0.575,0.259259,0.142857,0.432,0.526316,0.311475,0.294118,0.105263,0.16,0.0833333,0.306452,0.467742,0.419355,0.3125,0.148148,0.793103,0,0.666667,0.2,0.421053,0.21519,0.0909091,0.125,0.364486,0.529412,0,0.03125,0.0714286,0.533333,0.432432,0.15873,0.177778,0.175,0,0,0,0.05,0.547945,0,0.346154,0.321429,0.254237,0.575758,0.136364,0.530303,0,0.521739,0.583333,0.592593,0.27957,0.111111,0.641791,0.47619,0.391304,0.533333,0.542857,0.586207,0.6,0.5,0.458333,0.142857,0.0857143,0.371429,0.542857,0.52381,0.0909091,0.125,0.282828,0.5625,0.142857,0,0.1,0.217391,0.515625,0.454545,0.206897,0,0.292308,0.15528,0.153846,0.243902,0.0266667,0.0487805,0.555556,0.0833333,0.0377358,0.253333,0.40678,0.115385,0.352941,0.0833333,0.512821,0.256757,0.390244,0.208333,0.444444,0.372881,0,0.322581,0.010101,0.714286,0.0437956,0.142857,0.016129,0,0.0285714,0.0649351,0.0408163,0.0344828,0.0357143,0,0.047619,0.0181818,0.0246914,0.0285714,0.0107527,0.0128205
sample14,795,534,0,16,34,18.58,40.743,200,22.197,40.398,2.838,0.001,0.2373,13.2,0.79,16.128,0.0557395,35.3778,7.14883,38.9082,0.4375,0.641509,0.522727,0.196078,0.272727,0.210526,0.0285714,0.538462,0.319149,0.75,0.0322581,0.333333,0.0285714,0.276699,0,0,0.388186,0.446667,0.555556,0.641791,0.484848,0.561404,0.1875,0.909091,0.55,0.259259,0.214286,0.432,0.552632,0.311475,0.313725,0.0526316,0.16,0,0.306452,0.451613,0.387097,0.4375,0.148148,0.793103,0,0.666667,0.2,0.421053,0.202532,0.0909091,0.125,0.364486,0.529412,0,0.125,0.0714286,0.533333,0.432432,0.142857,0.2,0.175,0.0666667,0,0,0.05,0.561644,0,0.346154,0.357143,0.220339,0.590909,0.181818,0.545455,0,0.521739,0.583333,0.592593,0.27957,0.111111,0.656716,0.47619,0.391304,0.533333,0.571429,0.586207,0.6,0.75,0.458333,0.0714286,0.0857143,0.352381,0.571429,0.047619,0.0909091,0.125,0.262626,0.5625,0.142857,0.12,0.1,0.130435,0.515625,0.409091,0.206897,0,0.286154,0.161491,0.153846,0.219512,0.04,0.0487805,0.555556,0.0833333,0.0377358,0.253333,0.423729,0.115385,0.352941,0.0833333,0.512821,0.243243,0.390244,0.208333,0.444444,0.372881,0,0.322581,0.010101,0.761905,0.0437956,0.171429,0.016129,0,0.0285714,0.0519481,0.0408163,0.0344828,0.0357143,0.0212766,0.047619,0.0181818,0.0246914,0.0285714,0.0107527,0.0128205
sample15,795,561,0,16,34,18.58,40.743,258,21.81,40.477,0.602,0.001,0.2583,16.5,1.22,16.433,0.0557937,34.7146,7.0148,38.6245,0.4375,0.641509,0.522727,0.156863,0.272727,0.210526,0.0285714,0.538462,0.340426,0.625,0.0322581,0.307692,0.0285714,0.276699,0,0,0.400844,0.453333,0.555556,0.656716,0.484848,0.561404,0.25,0.909091,0.575,0.259259,0.142857,0.464,0.5,0.262295,0.254902,0.0526316,0.16,0,0.290323,0.403226,0.451613,0.5,0.148148,0.793103,0.25,0.666667,0.2,0.394737,0.189873,0.0681818,0.0625,0.345794,0.529412,0,0.125,0,0.533333,0.432432,0.126984,0.177778,0.1875,0,0,0,0.025,0.589041,0,0.346154,0.285714,0.152542,0.590909,0.181818,0.545455,0,0.521739,0.583333,0.555556,0.274194,0.0833333,0.671642,0.47619,0.347826,0.6,0.571429,0.586207,0.6,0.75,0.458333,0.0714286,0.0857143,0.342857,0.571429,0.0952381,0.030303,0.125,0.282828,0.53125,0.142857,0,0.05,0.0869565,0.515625,0.454545,0.206897,0.03125,0.283077,0.149068,0.230769,0.439024,0.0266667,0.0487805,0.555556,0.0833333,0.0377358,0.253333,0.423729,0.115385,0.352941,0.0833333,0.512821,0.283784,0.390244,0.208333,0.444444,0.389831,0,0.322581,0.010101,0.761905,0.0437956,0.142857,0.016129,0,0.0285714,0.0519481,0.0408163,0.0344828,0.0357143,0.0212766,0.047619,0.0181818,0.0246914,0.0285714,0.0107527,0.0128205
sample16,665,227,0,16,91,20.525,38.781,10,30.361,39.291,4.379,0.001,0.2721,0.23,0.13,2.8596,0.0600267,35.6329,7.20037,37.9815,0.3875,0.528302,0.590909,0.235294,0.363636,0.175439,0.142857,0.538462,0.361702,0.125,0.0322581,0.410256,0.0285714,0.286408,0.666667,0.0487805,0.316456,0.34,0.518519,0.641791,0.484848,0.508772,0.1875,0.772727,0.45,0.259259,0.142857,0.424,0.5,0.229508,0.294118,0.105263,0.226667,0.0833333,0.225806,0.483871,0.451613,0.3125,0.111111,0.793103,0.321429,0.666667,0.6,0.421053,0.278481,0.0454545,0,0.364486,0.529412,0,0.03125,0,0.5,0.486486,0.206349,0.2,0.1875,0,0.0740741,0.181818,0.025,0.465753,0.176471,0.346154,0.321429,0.20339,0.545455,0.0454545,0.454545,0.0555556,0.463768,0.583333,0.555556,0.215054,0.0833333,0.552239,0.47619,0.347826,0.4,0.542857,0.586207,0.6,0.75,0.5,0.142857,0.114286,0.504762,0.514286,0.47619,0.242424,0.125,0.262626,0.625,0.142857,0,0,0.26087,0.453125,0.5,0.206897,0,0.350769,0.136646,0.153846,0.365854,0.0266667,0.0243902,0.375,0.0227273,0,0.2,0.169492,0,0.254902,0,0.435897,0.243243,0.317073,0.166667,0.4,0.355932,0,0.322581,0.010101,0.52381,0.0145985,0.128571,0.016129,0,0.0285714,0.038961,0,0.0172414,0.0357143,0,0.047619,0,0.0123457,0.0285714,0.0107527,0
sample17,665,323,0,16,91,20.525,38.781,25,30.365,39.291,4.379,0.001,0.2737,0.2,0.16,2.1038,0.0593908,34.5954,6.99072,37.4495,0.375,0.54717,0.590909,0.235294,0.378788,0.157895,0.142857,0.538462,0.340426,0.125,0,0.410256,0.0285714,0.276699,0.666667,0.0487805,0.316456,0.346667,0.518519,0.671642,0.515152,0.508772,0.25,0.818182,0.45,0.240741,0.142857,0.416,0.473684,0.245902,0.254902,0.105263,0.04,0.0833333,0.225806,0.435484,0.483871,0.1875,0.111111,0.827586,0,0.666667,0.6,0.421053,0.278481,0.0454545,0.0625,0.336449,0.529412,0,0.03125,0,0.5,0.486486,0.190476,0.2,0.175,0,0.0740741,0.0909091,0.025,0.479452,0,0.346154,0.321429,0.237288,0.651515,0.136364,0.469697,0.0555556,0.463768,0.666667,0.555556,0.22043,0.0833333,0.58209,0.47619,0.347826,0.4,0.542857,0.62069,0.6,0.75,0.5,0.142857,0.114286,0.533333,0.514286,0.142857,0.242424,0.125,0.232323,0.625,0.214286,0,0,0.304348,0.46875,0.545455,0.206897,0,0.323077,0.124224,0.153846,0.365854,0.0266667,0.0243902,0.375,0.0227273,0,0.2,0.169492,0,0.254902,0,0.435897,0.22973,0.317073,0.166667,0.4,0.355932,0,0.322581,0.010101,0.571429,0.0145985,0.157143,0.016129,0,0.0285714,0.025974,0,0.0172414,0.0357143,0,0.047619,0,0.0246914,0.0571429,0.0107527,0
sample18,665,394,0,16,91,20.525,38.781,50,28.495,39.43,4.635,0.0575,0.2578,4.23,0.22,2.6042,0.0646879,35.0679,7.0862,35.9459,0.375,0.528302,0.590909,0.215686,0.363636,0.175439,0.114286,0.538462,0.297872,0.125,0,0.410256,0.0571429,0.26699,0.666667,0.0487805,0.316456,0.34,0.537037,0.61194,0.469697,0.491228,0.25,0.818182,0.425,0.240741,0.142857,0.416,0.447368,0.213115,0.235294,0.105263,0.0266667,0.0833333,0.209677,0.435484,0.451613,0.125,0.111111,0.758621,0,0.666667,0.6,0.421053,0.278481,0.0454545,0.0625,0.345794,0.529412,0,0.03125,0,0.5,0.459459,0.206349,0.2,0.1875,0,0.0740741,0.0909091,0.025,0.465753,0,0.346154,0.285714,0.152542,0.545455,0.0454545,0.454545,0.0555556,0.42029,0.583333,0.555556,0.204301,0.0833333,0.537313,0.47619,0.304348,0.4,0.542857,0.586207,0.6,0.75,0.458333,0.142857,0.114286,0.495238,0.514286,0.0952381,0.242424,0.125,0.242424,0.5625,0.0714286,0.2,0.1,0.173913,0.453125,0.454545,0.206897,0.03125,0.344615,0.111801,0.153846,0.243902,0.0266667,0.0243902,0.381944,0.0227273,0,0.2,0.169492,0,0.254902,0,0.435897,0.22973,0.292683,0.166667,0.4,0.355932,0,0.322581,0.010101,0.52381,0.0145985,0.157143,0.016129,0,0.0285714,0.025974,0,0.0172414,0.0357143,0,0.047619,0,0.0246914,0.0571429,0.0107527,0
sample19,665,467,0,16,91,20.525,38.781,100,24.118,40.103,3.484,0.2267,0.242,0.23,0.17,2.7983,0.0548841,36.2134,7.31768,40.1149,0.3875,0.54717,0.522727,0.176471,0.393939,0.192982,0.114286,0.538462,0.382979,0.125,0,0.410256,0.0285714,0.325243,0.619048,0.0487805,0.383966,0.453333,0.574074,0.641791,0.484848,0.578947,0.375,0.863636,0.525,0.259259,0.0714286,0.408,0.526316,0.295082,0.294118,0.105263,0.186667,0,0.290323,0.451613,0.451613,0.4375,0.111111,0.793103,0,0.666667,0.6,0.421053,0.227848,0.0681818,0.0625,0.35514,0.529412,0,0.03125,0,0.466667,0.486486,0.206349,0.177778,0.1875,0,0.0740741,0.181818,0.025,0.520548,0.176471,0.346154,0.321429,0.20339,0.560606,0.0454545,0.515152,0,0.463768,0.583333,0.555556,0.268817,0.0833333,0.597015,0.428571,0.391304,0.466667,0.542857,0.586207,0.6,0.75,0.458333,0.142857,0.0857143,0.52381,0.571429,0.52381,0.242424,0.125,0.252525,0.59375,0.428571,0.16,0.05,0.217391,0.515625,0.5,0.241379,0,0.286154,0.149068,0.153846,0.243902,0.0133333,0.0365854,0.541667,0.0681818,0.0377358,0.266667,0.389831,0.115385,0.333333,0.0833333,0.512821,0.243243,0.414634,0.229167,0.466667,0.372881,0,0.322581,0.010101,0.571429,0.0364964,0.142857,0.016129,0,0.0285714,0.0519481,0.0204082,0.0172414,0.0357143,0.0212766,0.047619,0,0.0123457,0.0285714,0.0107527,0
sample20,665,538,0,16,91,20.525,38.781,200,21.938,40.45,1.673,0.001,0.2437,12.1,0.64,7.9455,0.0520597,36.1207,7.29895,40.9141,0.4375,0.641509,0.590909,0.215686,0.272727,0.210526,0.171429,0.538462,0.382979,0.75,0.0322581,0.384615,0.0857143,0.305825,0.0634921,0.0243902,0.396624,0.446667,0.555556,0.701493,0.5,0.578947,0.1875,0.909091,0.55,0.259259,0.142857,0.48,0.552632,0.311475,0.333333,0.0526316,0.2,0.0833333,0.290323,0.483871,0.451613,0.375,0.111111,0.827586,0.285714,0.666667,0.6,0.447368,0.202532,0.0681818,0.125,0.35514,0.529412,0,0.125,0.0714286,0.533333,0.513514,0.174603,0.177778,0.2,0,0,0,0.05,0.534247,0,0.346154,0.357143,0.237288,0.606061,0.136364,0.515152,0,0.536232,0.583333,0.592593,0.258065,0.111111,0.671642,0.52381,0.391304,0.466667,0.571429,0.586207,0.6,0.75,0.458333,0.0714286,0.114286,0.466667,0.542857,0.571429,0.151515,0.125,0.272727,0.5625,0.142857,0,0.1,0.173913,0.515625,0.409091,0.275862,0.03125,0.295385,0.142857,0.153846,0.195122,0.0266667,0.0487805,0.555556,0.0757576,0.0377358,0.266667,0.40678,0.115385,0.352941,0.0833333,0.512821,0.256757,0.414634,0.229167,0.466667,0.389831,0,0.322581,0.010101,0.666667,0.0437956,0.157143,0.016129,0,0.0285714,0.0519481,0.0408163,0.0172414,0.0357143,0.0212766,0.0238095,0,0.0246914,0.0285714,0.0107527,0.0128205
sample21,665,633,0,16,91,20.525,38.781,500,21.575,40.531,0.915,0.001,0.235,17.5,0.96,16.749,0.0519173,35.3278,7.13872,40.8124,0.4125,0.566038,0.5,0.156863,0.257576,0.140351,0.114286,0.5,0.382979,0.75,0,0.333333,0.0285714,0.286408,0,0,0.371308,0.413333,0.574074,0.686567,0.530303,0.596491,0.5,0.863636,0.525,0.222222,0.142857,0.472,0.526316,0.278689,0.294118,0.0526316,0.24,0.0833333,0.290323,0.419355,0.451613,0.5,0.0740741,0.793103,0.178571,0.666667,0.4,0.368421,0.177215,0.0681818,0.0625,0.336449,0.470588,0,0.125,0,0.5,0.513514,0.15873,0.133333,0.2375,0.0666667,0,0.0909091,0.025,0.561644,0,0.307692,0.285714,0.20339,0.545455,0.0909091,0.530303,0,0.550725,0.583333,0.592593,0.252688,0.0833333,0.626866,0.47619,0.391304,0.6,0.571429,0.551724,0.6,0.75,0.541667,0.0714286,0.114286,0.342857,0.514286,0.571429,0,0.125,0.383838,0.5625,0.357143,0.04,0,0.217391,0.5,0.5,0.275862,0,0.295385,0.236025,0.576923,0.658537,0.0266667,0.0487805,0.548611,0.0757576,0.0377358,0.253333,0.372881,0.115385,0.352941,0.0416667,0.487179,0.378378,0.414634,0.25,0.488889,0.389831,0,0.322581,0.010101,0.666667,0.0437956,0.171429,0.016129,0,0.0285714,0.0519481,0.0408163,0.0172414,0.0357143,0.0212766,0.0714286,0.0181818,0.0123457,0.0285714,0.0107527,0.0128205
sample22,594,221,0,16,108,22.046,37.929,10,30.529,39.37,4.368,0.001,0.2475,0.44,0.14,1.634,0.0596336,35.6853,7.21096,38.0619,0.375,0.528302,0.590909,0.196078,0.333333,0.122807,0.142857,0.538462,0.382979,0.125,0.0645161,0.358974,0.0571429,0.325243,0.666667,0.0487805,0.320675,0.333333,0.5,0.686567,0.484848,0.54386,0.1875,0.772727,0.425,0.240741,0.142857,0.456,0.526316,0.278689,0.333333,0.105263,0.213333,0.0833333,0.258065,0.451613,0.387097,0.375,0.111111,0.793103,0,0.666667,0.6,0.447368,0.265823,0.0227273,0,0.336449,0.529412,0,0.03125,0,0.433333,0.486486,0.222222,0.2,0.2375,0,0.0740741,0.181818,0.025,0.493151,0,0.346154,0.357143,0.20339,0.530303,0.0454545,0.424242,0.0555556,0.434783,0.583333,0.555556,0.215054,0.0833333,0.58209,0.47619,0.347826,0.533333,0.514286,0.62069,0.6,0.75,0.541667,0.142857,0.0857143,0.495238,0.514286,0.47619,0.242424,0.125,0.252525,0.59375,0.142857,0,0,0.217391,0.453125,0.454545,0.241379,0.03125,0.326154,0.161491,0.153846,0.390244,0.0266667,0.0365854,0.375,0.0227273,0,0.213333,0.169492,0,0.254902,0.0625,0.435897,0.378378,0.365854,0.1875,0.4,0.355932,0.0526316,0.354839,0.010101,0.47619,0.0218978,0.171429,0.016129,0,0.0285714,0.038961,0.0204082,0.0172414,0.0357143,0,0.047619,0,0.0246914,0.0285714,0.0107527,0
sample23,594,316,0,16,108,22.046,37.929,25,30.509,39.373,4.378,0.001,0.2498,0.39,0.2,1.8281,0.0561068,35.686,7.2111,39.4438,0.375,0.566038,0.590909,0.235294,0.363636,0.140351,0.142857,0.538462,0.361702,0.125,0,0.358974,0.0285714,0.315534,0.666667,0.0487805,0.320675,0.346667,0.555556,0.686567,0.484848,0.54386,0.3125,0.863636,0.45,0.259259,0.142857,0.48,0.526316,0.262295,0.294118,0.105263,0.226667,0.0833333,0.258065,0.467742,0.451613,0.3125,0.148148,0.793103,0.321429,0.666667,0.6,0.447368,0.278481,0.0454545,0,0.345794,0.529412,0,0.03125,0,0.5,0.513514,0.222222,0.222222,0.2,0,0.0740741,0.181818,0.025,0.506849,0,0.346154,0.321429,0.237288,0.575758,0.136364,0.484848,0.0555556,0.463768,0.583333,0.555556,0.215054,0.0833333,0.597015,0.47619,0.347826,0.4,0.542857,0.586207,0.6,0.75,0.5,0.142857,0.0857143,0.504762,0.514286,0.571429,0.242424,0.125,0.272727,0.625,0.214286,0,0,0.304348,0.453125,0.545455,0.275862,0.03125,0.347692,0.180124,0.153846,0.414634,0.0266667,0.0243902,0.375,0.0227273,0,0.213333,0.169492,0,0.27451,0,0.435897,0.432432,0.317073,0.1875,0.422222,0.372881,0.0526316,0.354839,0.010101,0.52381,0.0145985,0.157143,0.016129,0,0.0285714,0.038961,0,0.0172414,0.0357143,0,0.047619,0,0.0246914,0.0285714,0.0107527,0
sample24,594,388,0,16,108,22.046,37.929,50,30.436,39.368,4.382,0.0024,0.256,0.06,0.13,2.0834,0.0568727,35.8264,7.23946,39.1433,0.3875,0.54717,0.590909,0.235294,0.348485,0.192982,0.142857,0.538462,0.404255,0.125,0,0.410256,0.0285714,0.315534,0.666667,0.0487805,0.320675,0.346667,0.537037,0.686567,0.515152,0.578947,0.25,0.863636,0.45,0.277778,0.142857,0.456,0.552632,0.311475,0.313725,0.105263,0.213333,0.0833333,0.290323,0.467742,0.483871,0.375,0.111111,0.793103,0.321429,0.666667,0.6,0.447368,0.278481,0.0454545,0,0.364486,0.529412,0,0.03125,0,0.5,0.486486,0.206349,0.2,0.2,0,0.0740741,0.181818,0.025,0.520548,0,0.346154,0.321429,0.237288,0.590909,0.136364,0.484848,0.0555556,0.463768,0.583333,0.555556,0.225806,0.0833333,0.597015,0.47619,0.347826,0.4,0.542857,0.586207,0.6,0.75,0.5,0.142857,0.0857143,0.514286,0.514286,0.0952381,0.242424,0.125,0.272727,0.59375,0.214286,0.16,0,0.217391,0.453125,0.5,0.275862,0,0.372308,0.161491,0.153846,0.414634,0.0266667,0.0243902,0.375,0.0227273,0,0.213333,0.169492,0,0.27451,0.0416667,0.435897,0.283784,0.317073,0.1875,0.422222,0.372881,0.0526316,0.354839,0.010101,0.571429,0.0145985,0.142857,0.016129,0,0.0285714,0.038961,0,0.0172414,0.0357143,0,0.047619,0,0.0246914,0.0285714,0.0107527,0
sample25,594,460,0,16,108,22.046,37.929,100,24.214,40.119,3.995,0.4532,0.249,2.4,0.2,2.6042,0.0563199,36.3713,7.34958,39.4994,0.3625,0.54717,0.545455,0.196078,0.393939,0.175439,0.114286,0.538462,0.382979,0.125,0.0322581,0.410256,0.0571429,0.31068,0.666667,0.097561,0.396624,0.453333,0.555556,0.656716,0.469697,0.578947,0.1875,0.818182,0.525,0.259259,0.142857,0.432,0.526316,0.278689,0.313725,0.105263,0.16,0.0833333,0.290323,0.467742,0.451613,0.3125,0.111111,0.793103,0,0.666667,0.6,0.421053,0.253165,0.0681818,0.0625,0.345794,0.529412,0,0.03125,0,0.5,0.486486,0.190476,0.177778,0.175,0,0.0740741,0.181818,0.025,0.493151,0.117647,0.346154,0.321429,0.169492,0.530303,0.0909091,0.469697,0,0.463768,0.583333,0.555556,0.241935,0.0555556,0.567164,0.47619,0.391304,0.466667,0.542857,0.62069,0.6,0.75,0.5,0.142857,0.0857143,0.533333,0.571429,0.47619,0.242424,0.125,0.262626,0.5625,0.428571,0,0.05,0.173913,0.5,0.454545,0.206897,0,0.301538,0.130435,0.153846,0.170732,0.0266667,0.0365854,0.541667,0.0681818,0.0377358,0.253333,0.372881,0.115385,0.333333,0.0833333,0.487179,0.22973,0.390244,0.25,0.466667,0.372881,0.0526316,0.322581,0.010101,0.571429,0.0364964,0.142857,0.016129,0,0.0285714,0.038961,0,0.0172414,0.0357143,0.0212766,0.047619,0,0.0123457,0.0285714,0.0107527,0
