# Gene Family	sample01.1.prinseq_CPM	sample02.1.prinseq_CPM	sample03.1.prinseq_CPM	sample04.1.prinseq_CPM	sample05.1.prinseq_CPM	sample06.1.prinseq_CPM	sample07.1.prinseq_CPM	sample08.1.prinseq_CPM	sample09.1.prinseq_CPM	sample10.1.prinseq_CPM	sample11.1.prinseq_CPM	sample12.1.prinseq_CPM	sample13.1.prinseq_CPM	sample14.1.prinseq_CPM	sample15.1.prinseq_CPM	sample16.1.prinseq_CPM	sample17.1.prinseq_CPM	sample18.1.prinseq_CPM	sample19.1.prinseq_CPM	sample20.1.prinseq_CPM	sample21.1.prinseq_CPM	sample22.1.prinseq_CPM	sample23.1.prinseq_CPM	sample24.1.prinseq_CPM	sample25.1.prinseq_CPM	sample26.1.prinseq_CPM	sample27.1.prinseq_CPM	sample28.1.prinseq_CPM	sample29.1.prinseq_CPM	sample30.1.prinseq_CPM	sample31.1.prinseq_CPM	sample32.1.prinseq_CPM	sample33.1.prinseq_CPM	sample34.1.prinseq_CPM	sample35.1.prinseq_CPM	sample36.1.prinseq_CPM	sample37.1.prinseq_CPM	sample38.1.prinseq_CPM	sample39.1.prinseq_CPM	sample40.1.prinseq_CPM	sample41.1.prinseq_CPM	sample42.1.prinseq_CPM	sample43.1.prinseq_CPM	sample44.1.prinseq_CPM	sample45.1.prinseq_CPM
UNMAPPED	452030	440127	498634	439251	450903	467385	576319	548104	469838	457874	492050	525598	571299	524394	500365	419298	401714	446208	586259	597232	496409	437682	440252	493480	545002	539703	493546	421149	451031	503379	588034	627834	527728	438790	450302	453141	541854	603731	590096	458760	512974	462301	561498	558309	512941
UNGROUPED	375839	385758	365921	372851	374571	368439	319267	337369	377170	369712	355270	349973	319537	350538	364455	381414	398757	368295	303254	297876	358093	383043	377175	344405	329451	337921	364426	394444	383748	357708	306947	285902	344900	392373	385906	380918	326781	301146	301121	382783	348352	375462	322763	324333	353821
K00001	78.9681	106.746	99.7315	93.011	106.364	99.5044	54.5245	46.8027	52.1684	116.339	103.344	79.6165	66.4345	55.3619	53.4213	89.9165	89.7405	85.5664	79.4592	39.4181	53.8997	90.1462	96.7957	80.2531	86.8644	53.3963	46.103	81.0571	81.1825	57.038	66.5831	36.5191	44.6716	91.2501	88.7566	85.6119	94.7265	40.5557	34.8371	76.142	84.122	99.1342	69.676	57.3753	44.8527
K00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597496
K00003	134.319	144.297	104.687	181.763	156.565	143.97	95.3866	151.701	218.355	149.682	124.321	95.9126	106.894	157.903	168.112	198.692	191.907	175.44	77.4347	116.719	135.077	156.744	161.47	145.497	94.5757	160.882	176.876	165.347	144.278	115.872	66.1494	71.3644	153.585	160.328	143.973	150.241	96.4623	93.9471	115.688	130.871	95.4774	136.68	83.2566	110.592	154.189
K00004	0.627857	0	0.902542	0.154674	0	0	1.8979	0.108207	0.805881	0.263638	0.297634	2.11425	1.61745	0.174231	1.70825	0	0.215848	0.100476	2.3297	0.730601	0.950243	0.227135	0.669374	0.455648	1.95795	1.70141	0.0947955	0.0972223	1.22267	0.293173	0.110424	1.96872	2.44964	0.132632	1.37681	0.259302	0	3.09457	2.13638	0.0594115	1.22288	0.989498	1.01411	1.06357	3.13788
K00005	16.2128	9.04107	0.227472	4.07315	0.668993	4.1663	1.52378	0.110436	0.483885	1.90794	2.27294	1.59686	0.177096	0	0.0759908	2.02556	1.37434	2.24973	6.13432	0.178258	0.238573	0.934965	1.17348	1.06587	5.39641	0	0.0886709	0.28477	0.0924091	1.31946	7.42611	0.671788	0	0.0649062	0.166324	0.062967	1.37069	0	0.0695296	3.17842	1.00726	2.26453	2.88391	0.8759	0.088614
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0754092	0	0	0	0	0	0	0
K00007	0.750585	0.145746	0.857323	0.233724	0	0	0.154553	0.333759	0.412241	0.401725	0.0768683	0.219165	0.200864	0.319679	0.198582	0	0.0804331	0.0787428	0	0.20571	0	0	0.183031	0	0	0.121177	0	0.983238	0.0699362	0	0	0	0	0	0.658127	0.32964	0	0	0.0538711	0.233666	0	0.537886	0	0.0602794	0
K00008	8.01007	8.46534	20.8555	6.46997	8.40207	7.00153	35.4302	60.1895	91.9897	8.78197	9.25207	26.2974	38.4249	62.3221	74.1153	7.74248	7.3018	3.76569	15.7966	41.8323	45.306	7.79835	6.5539	4.62581	12.762	57.4739	71.8041	9.33573	8.81029	4.84732	13.2043	18.0518	48.0891	8.08003	8.86915	7.77265	8.8244	30.2516	34.303	7.01599	8.31908	8.34353	16.7756	29.9866	60.7456
K00009	0	0	0	0	0	0	0.097265	0.209505	0.232058	0	0	0	0	0	0	0	0	0	0.298842	0	0.0751299	0.0720203	0	0	0	0.0752606	0	0.0902299	0	0	0	0.0751924	0	0	0.0797883	0	0.0658246	0	0.0673748	0.0530898	0	0	0	0.149011	0.0843219
K00010	34.7985	40.7572	33.1087	36.3753	47.2999	37.6482	14.6807	12.0696	8.77739	45.4525	35.4132	23.1883	12.265	12.8338	11.5527	36.7652	38.6126	32.6234	16.0149	10.1855	8.88749	35.4824	38.7934	34.3696	17.5558	13.542	9.25312	39.725	35.226	25.2392	19.5216	13.8936	10.7812	39.3025	42.68	37.6821	28.1703	15.3704	10.1314	32.493	30.4169	42.4983	18.4373	19.3335	13.7138
K00012	97.1686	100.558	92.0126	104.332	107.254	96.9489	82.3699	73.3945	80.8858	104.846	92.4018	89.6933	83.146	78.1643	79.6307	140.116	98.3375	127.867	88.9487	67.2831	80.022	100.77	107.037	99.5163	90.9495	79.9507	76.6903	108.656	99.1539	87.2994	83.7948	70.1089	82.7295	111.531	107.87	107.502	98.4625	71.6239	72.1491	99.595	92.2204	105.815	81.0664	83.6278	82.0633
K00013	85.285	84.8432	70.7836	73.9017	76.4516	73.2603	58.4947	45.7837	55.6367	86.9051	72.1579	71.8439	59.6326	56.6568	58.8576	95.2625	64.6915	62.1973	64.4159	48.4951	58.0984	79.8652	81.4896	65.8887	70.9889	50.5972	57.0952	85.8756	77.9133	60.7535	61.3842	53.1635	54.7198	100.409	94.4517	86.1805	79.0801	53.6818	44.678	90.7318	83.365	107.676	65.9594	67.0886	52.5261
K00014	148.873	137.038	106.044	162.146	132.276	128.233	111.584	127.891	193.891	134.163	125.718	120.089	122.07	148.353	157.56	169.949	157.032	184.554	133.36	122.078	135.778	141.24	158.123	139.039	136.623	141.758	165.707	144.882	121.203	106.659	90.036	75.7735	131.625	129.09	125.599	131.571	111.937	96.8825	98.5257	102.763	109.155	119.856	102.538	109.057	147.041
K00015	5.73581	8.89079	15.0425	10.5342	11.5689	11.8086	21.88	17.6039	14.0829	13.57	13.7299	23.7651	23.2706	19.7556	18.375	11.2329	7.6566	6.21679	15.1876	13.6843	11.0667	12.5525	11.1395	9.56854	14.1465	16.5273	14.0797	12.9472	11.4097	9.23577	12.4692	15.2193	13.4412	14.2045	15.4496	14.0605	13.6044	16.9537	11.1192	15.6538	9.8958	14.5045	18.0601	17.2604	13.2372
K00016	0.153525	0.0909458	0	0.169316	0	0.108761	0	0.130049	0	0	0	0.287417	0	0.0949727	0	0.147271	0.120703	0.151816	0.182718	0.0938874	0.0825953	0.210944	0.344221	0	0	0.975477	0	0.272606	0.830843	0.38483	0.130469	0.540062	1.04514	0.559636	1.14478	0.701787	0.4837	0.988509	1.08252	0.153943	1.46388	0.796914	0.0955996	0.801395	1.77282
K00018	3.58965	1.92735	7.42532	3.44301	2.51666	4.10949	9.24667	9.09663	16.4533	4.85146	3.46286	10.4899	11.7933	12.1624	14.6307	1.22409	0.839661	0.234023	7.56575	4.75577	18.3037	1.93416	1.55715	1.26442	4.30306	7.46785	9.58514	2.65977	2.52544	2.21188	2.76598	4.80219	6.6803	1.84353	2.0012	2.22977	3.22447	6.27814	6.96776	1.09984	1.47596	2.3156	5.57139	8.26897	6.97287
K00019	9.44409	9.18397	10.2736	8.87435	11.2297	12.0647	11.4517	12.3856	20.4599	14.1594	12.231	11.7869	9.96214	14.4792	14.1341	13.0933	10.3331	5.55262	11.7547	13.3149	14.5782	20.9301	18.0991	12.1019	11.3426	16.9306	18.085	25.2341	23.4209	18.169	8.93126	16.8846	20.1275	20.9834	21.7627	14.4354	12.0482	16.9828	22.8689	39.3848	25.1385	28.5502	15.6737	22.6676	23.8025
K00020	117.055	136.875	143.943	123.938	144.249	129.098	104.134	115.366	136.299	142.491	129.465	117.105	107.417	127.08	132.146	121.527	106.335	106.38	117.391	96.8117	117.024	111.337	122.637	103.282	124.242	122.447	140.605	115.903	115.043	85.4671	88.9298	76.0564	118.554	146.567	136.979	131.189	120.288	80.635	84.0251	111.529	122.693	136.15	105.919	104.261	123.802
K00021	2.05851	0.904081	1.08939	2.58483	1.07	5.52993	5.89494	1.87607	20.5084	5.77571	3.13991	6.09729	4.89158	7.8139	11.4001	0.598076	0.247635	0.169874	4.4285	0.99506	6.22109	7.94591	1.27649	1.22426	3.18411	1.0973	3.71065	4.03075	2.85088	2.735	1.96964	1.78723	5.46251	2.53986	1.17599	2.1459	1.92149	2.48646	7.47142	5.95859	3.19385	1.29653	3.11156	1.51076	4.59595
K00022	0	0	0.819335	0.423834	0	0	0	0	0	0.223352	0	0	1.19294	0.422338	0.691596	0	0	0	0	0	0	0.226524	0	0	0.794468	0.453342	0	0	0	0	0	0.35539	0.555401	0	0	0	0	1.21658	1.06808	0	0	0	0	1.94084	1.03019
K00023	11.3207	13.8483	11.3368	11.7779	14.6283	10.2352	7.20338	9.02286	9.03523	14.2181	11.7918	9.79642	7.16953	10.1986	13.695	11.5294	12.7307	8.19607	7.86022	10.5266	24.0272	22.0771	18.2662	15.3286	9.56556	11.415	15.5538	26.6357	29.3876	19.6739	10.1597	11.3486	19.6117	22.9336	22.9428	19.8607	12.8757	12.4826	22.0734	40.635	28.5169	26.1907	13.4732	20.4554	19.0593
K00024	126.538	156.216	187.526	129.376	164.077	147.001	133.041	158.181	189.859	168.172	155.652	153.822	137.638	161.753	188.051	117.383	138.427	111.326	118.996	130.904	150.385	160.193	141.381	119.172	134.397	164.887	182.587	165.522	160.381	121.92	118.937	100.138	170.834	169.676	159.852	147.333	143.521	114.485	131.822	170.387	163.891	167.676	132.659	136.13	179.055
K00025	0.948391	1.65361	3.43365	1.2729	1.63849	2.40819	1.97343	2.70384	1.05826	1.05951	1.27663	3.32486	2.62722	2.62055	3.75532	0.280532	1.2313	0	1.67812	2.61192	2.08013	1.262	0.658209	0.738699	1.97698	1.76228	2.4645	0.429215	2.42324	1.97882	1.94937	2.51332	3.35809	1.86818	2.4747	1.75018	1.90159	3.47449	3.21948	1.43864	2.44419	2.27441	1.64984	2.30581	4.47577
K00026	0	0	0.669217	0	0	0	0	0	0	0	0.273958	1.06019	0.387252	0	0.518079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130482	0	0	0	0	0	0	0.097377
K00027	5.47286	5.43472	6.21852	5.9343	7.61659	10.7876	11.3185	12.9373	28.351	10.4656	9.37998	14.8184	10.5808	16.4492	19.6053	9.85295	4.8757	4.12444	15.254	12.0578	17.7981	17.9317	11.0029	7.10551	12.6208	12.904	19.07	15.5246	10.3157	11.4407	14.7971	15.003	21.1567	12.2848	12.1557	11.1275	10.0997	15.584	22.7335	15.6297	14.4616	13.1939	13.3858	17.3771	17.6714
K00029	76.0537	83.9658	83.5994	76.9101	87.0101	80.7569	34.6077	30.2791	33.6975	96.7404	83.0208	56.7498	35.6305	31.2155	32.577	117.909	72.4265	76.2571	42.8005	24.816	41.1888	78.5776	78.5445	70.1397	55.5155	29.5413	37.3282	82.9417	72.5073	59.1419	49.0606	31.7184	37.3769	78.2994	72.9695	74.8721	73.2882	28.5738	29.7419	84.2354	81.1732	85.0619	53.8564	41.9762	40.849
K00030	0	0.286894	2.63888	1.79534	1.27759	0.508418	5.32536	4.82764	5.52053	1.07842	0	3.08642	6.45462	3.92386	5.16667	0.354816	1.04456	0	2.79181	4.05198	5.06563	0.710732	0.895758	0.892227	1.90357	4.509	6.48934	0.423659	2.1808	0.769297	1.29817	3.46658	3.48253	1.4954	2.28459	1.35452	1.29094	5.04307	2.94754	1.38069	0.360572	1.15627	2.02146	4.95722	3.61028
K00031	180.827	207.634	171.017	201.541	214.256	192.766	105.826	167.561	243.863	210.206	178.655	136.081	108.828	157.127	177.91	246.925	266.06	200.468	99.7703	130.41	164.057	207.902	204.281	165.777	132.264	148.614	197.433	199.889	202.711	163.752	119.005	81.4515	155.794	189.301	175.126	194.957	137.185	88.7823	121.314	170.425	158.113	179.136	131.182	112.921	165.747
K00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0994676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272525	0	0	0	0	0.346063	0	0	0	0	0	0	0
K00033	105.113	93.2725	13.3064	91.0383	69.7602	76.1094	6.39106	2.09839	6.37497	61.0587	49.0454	12.7746	5.16089	2.53224	2.45589	61.1599	148.172	71.3575	16.4167	6.08932	8.12332	83.7607	69.1436	66.7054	21.3934	6.86658	7.76994	73.7203	64.0793	58.8226	24.9305	14.1589	12.8769	37.7798	37.1538	57.3479	24.9713	15.7652	23.891	30.5696	27.8792	28.2382	19.3998	20.2599	18.0531
K00034	0.571822	0.44715	1.58037	0	0	0	1.16409	1.41449	0.418196	0.631914	0.288717	0.463353	0.466776	1.40238	0.487365	0	0.314967	0	0.646658	1.15291	1.37624	0	0.239504	0.282677	1.20308	1.16706	0.507526	0	0.405817	0.421739	0.513516	0.117453	0.108726	0.188031	0.826728	0.712334	0.873336	1.72936	1.21634	0.157572	0.557004	0.302722	0.389844	2.4025	0.469448
K00035	0	0.22853	0.270969	0.0919787	0	0	0	0	0.0725029	0	0	0	0.107401	0	0.104234	0.622895	0.631544	0	0.56776	0.428899	0.188857	1.0939	0.770179	1.5551	0.387607	0.18997	1.06049	3.3363	2.40963	1.22657	0.948796	0.663415	0.466587	0.384192	1.57704	0.525149	0.0805494	1.11503	1.63179	5.81395	2.69276	0.731861	0.715841	0.946869	2.03857
K00036	118.813	96.1323	20.9072	107.362	83.8953	92.5152	6.91777	1.96466	14.3633	74.2868	56.8787	17.3055	8.18287	5.98712	8.39853	73.2925	138.104	86.8415	16.9265	8.45307	25.5736	99.2217	86.3319	78.3781	25.2032	9.91718	20.5678	97.6683	71.9495	75.3046	22.8989	21.846	27.4793	57.7736	52.7376	65.8916	29.5642	19.2605	38.4751	67.5387	39.5272	48.5421	27.2085	32.207	27.7317
K00038	1.10328	2.22416	6.9294	3.27673	3.62145	2.24702	5.95645	6.83621	5.90496	0.959903	3.27233	7.18766	7.04032	6.706	7.15496	3.19369	1.44006	0.860291	5.9893	7.44035	8.42527	9.72029	4.724	3.07198	5.44192	7.2799	9.75041	9.49867	3.78327	7.41017	6.78189	7.80558	12.9427	8.51222	4.33969	6.59947	7.39851	9.95599	15.1101	12.7214	8.54255	5.14919	9.00673	8.90343	12.657
K00039	0.908757	1.4118	0.354865	1.76216	4.22223	1.57451	1.03148	0.330193	0	2.14403	2.95779	1.01268	1.15139	0.528414	0.501133	0	0.651411	1.02145	0.649357	0.466326	0.939045	0.729597	1.47321	1.59638	0	0.448734	0.633402	0	0.809302	2.31935	1.18763	3.87683	0.979162	0.826406	2.21914	1.78926	1.59183	1.28619	0.425869	0.727863	2.47704	2.76791	1.77788	1.59982	0.974575
K00040	1.38874	2.02665	1.66495	1.53085	3.46315	2.04156	0.944934	0	0	2.38876	2.64222	1.20322	0.0663886	0.855352	1.39343	1.50289	0.86232	0.152761	2.4213	0.066801	0.27185	3.34333	0.912627	2.09645	1.21632	0	1.66966	3.78659	2.90263	3.81777	1.67617	2.17556	2.55126	2.59795	4.5578	2.00116	2.61113	1.40254	2.66956	5.2669	4.54129	4.47619	4.0697	3.45305	2.17323
K00041	0	0	0	0	0	0	0	0	0	0.0660268	0	0	0	0.0837844	0	0	0	0	0	0.356424	0	0.075228	0.0802694	0.0715667	0	0	0.38101	0.0943487	1.00736	0.713027	0.110538	0.234667	0.15171	0	0.575302	0.437719	0	0.20166	0.265549	0.0576554	0.633861	0.477216	0	0.69048	0.503964
K00042	101.633	126.388	125.568	104.293	145.668	127.335	47.6937	34.2259	47.4252	151.833	126.064	81.6154	48.9692	41.2709	45.8606	132.925	117.356	103.275	51.3695	32.0444	46.5457	119.624	121.578	100.617	69.6838	41.1038	40.2536	111.996	118.807	75.3836	60.6465	37.2204	30.6532	123.862	112.891	107.724	99.872	38.3979	25.3922	101.246	94.597	124.066	76.9259	57.2012	34.5504
K00043	0.627948	0.564719	0.607127	0.678431	0	0.761105	0	0.730927	0.45368	0.666435	0.801685	0	0	0.692054	0	0.381537	0.813351	0	0.636895	0.710378	0.67887	0.697749	0.73693	0.531627	0.714387	0.602408	0.79886	0.800192	0.896116	0.793589	0.873424	0.626497	0.54339	0.927634	1.15077	0.940121	1.06947	0	0.689406	0.795411	0.884176	0.825997	1.00059	0.653911	0.677705
K00045	2.07263	2.27164	2.25624	2.00383	3.76898	3.96512	1.2596	3.50185	7.46252	3.47415	3.28545	3.26391	1.36896	4.66972	2.42085	1.14816	2.55356	0.0735982	1.50628	2.28716	3.72449	3.34638	3.27597	2.08418	1.11468	3.35091	4.3137	3.97002	3.44972	4.66458	1.7465	2.97596	5.9287	3.07262	3.32159	5.24736	2.84586	2.51798	5.25739	7.07178	7.9467	5.79332	2.9896	2.29046	8.12334
K00046	10.6821	9.3761	21.3252	9.97397	9.78062	9.3483	7.86899	9.12995	6.98882	12.2805	11.2999	13.8843	9.25733	12.2524	11.4727	6.3642	9.51279	3.50615	6.1163	9.31819	8.01444	10.9777	9.03133	7.98443	6.78941	10.696	7.54059	13.0714	9.28502	11.1891	7.35005	11.3376	10.2034	12.9429	9.69748	8.19067	10.9426	12.8261	11.9182	13.5995	12.8556	12.4495	11.884	13.1139	11.914
K00049	0	0	0.644312	0	0	0	0.715372	0.397948	0.542452	0	0	0.430541	1.67062	1.15718	0.847637	0	0	0	1.23299	0.195919	0	0	0	0	0.523264	0.167821	0.572978	0	0	0	0	1.86267	0	0	0	1.28565	0.991941	1.84497	0.212037	0.203989	0.478579	0	0.874774	1.81232	0.358569
K00050	3.27969	5.24279	6.77538	6.05089	5.50627	5.14864	7.78471	11.7761	9.46338	6.25344	5.85675	6.90579	10.441	13.6625	12.7042	2.17784	3.30012	0.582906	5.24248	9.55949	7.09922	4.44005	2.74195	3.00438	5.68884	7.72718	8.80986	6.46801	5.7772	5.38428	4.26483	10.6186	11.5493	5.13945	4.37039	4.74026	5.3714	13.2623	8.37825	7.77248	6.93022	6.7426	7.91225	9.46957	12.6034
K00052	190.591	202.172	155.907	207.649	210.822	188.892	111.208	164.422	213.909	198.351	172.791	129.826	116.728	164.351	173.771	177.742	237.83	189.495	96.13	127.752	159.492	191.288	185.872	168.049	113.273	161.359	187.889	193.367	187.296	151.636	108.364	85.4765	154.067	167.884	162.814	179.467	124.648	102.475	126.376	153.771	133.91	164.778	117.924	124.421	168.141
K00053	226.455	241.074	182.803	230.505	232.864	211.011	130.307	150.665	193.892	222.147	198.663	149.761	129.038	152.641	167.138	213.899	278.733	204.536	122.561	129.942	146.573	231.19	228.662	201.018	151.858	154.784	173.403	234.507	216.465	175.068	139.947	97.6885	152.058	221.537	215.04	216.986	165.045	115.178	124.168	196.117	179.345	204.849	150.594	143.183	160.412
K00054	4.16321	5.40395	16.7216	3.6705	7.27349	5.98673	15.6113	13.971	13.5884	8.42683	8.5702	19.1538	16.8957	16.4328	17.3164	2.72689	3.89472	3.38846	10.4985	10.7808	9.70343	3.42749	3.97191	5.06104	8.28536	14.3484	15.7636	3.93046	3.4307	6.15735	7.91442	8.56835	13.2391	6.03614	5.57194	5.21699	7.37142	10.7795	12.1798	6.23487	9.62648	6.46653	8.62048	10.3759	13.8515
K00055	0.0879236	0	0.438876	0	0	0	0	1.48793	0	0	0.0978789	0.877439	0.81373	0.616639	1.84505	0.0844882	0.313571	0	1.05416	1.87985	6.80053	4.65787	0.555122	0.0723893	0	2.51731	4.9173	7.28564	0.360125	1.2861	1.13539	2.34532	5.21993	3.4201	0.58129	0.839412	1.72233	3.24212	6.78122	10.2461	2.91226	1.60774	3.50826	2.61355	4.94504
K00057	33.0906	41.3983	51.8056	41.5703	44.6755	46.9238	40.5407	39.9555	51.7414	53.3201	47.5535	55.1959	53.2184	54.7994	50.434	49.4342	32.0387	33.4183	55.6403	43.1274	48.3097	60.9474	52.5811	44.5839	59.6041	54.7038	48.8676	59.4418	59.6287	46.8962	36.8796	51.665	62.5383	65.6171	66.0474	60.1377	53.7442	54.4738	53.1361	77.0256	67.6118	80.3165	47.7513	62.4829	63.3848
K00058	66.593	80.638	110.921	63.256	77.4962	86.2671	86.9195	124.612	151.745	78.0689	77.2871	98.9317	94.3001	128.658	138.428	62.1919	66.1138	55.2617	78.0542	102.506	129.423	78.9543	66.4504	60.9703	77.7207	121.479	152.254	90.7006	90.9091	84.3294	76.9249	86.5806	134.421	105.038	109.093	90.0872	87.5984	103.572	119.343	110.796	94.9687	105.398	85.4236	107.716	145.21
K00059	304.38	324.468	326.653	327.226	343.479	323.752	252.256	248.56	240.204	329.147	303.521	285.409	263.562	260.783	273.059	347.73	348.833	295.297	208.685	233.087	279.922	323.955	321.568	286.786	245.49	254.984	276.69	352.451	318.642	276.419	227.196	252.214	267.413	332.182	324.801	323	249.906	277.894	258.106	310.731	294.547	325.18	259.403	277.668	288.957
K00060	5.86164	7.16865	12.1823	5.09933	7.69716	9.91555	11.1896	13.3411	23.1795	9.69676	8.82079	14.8465	12.5569	17.7378	19.4396	2.1941	5.48706	1.38409	7.64131	11.947	19.8761	5.69388	3.64562	5.01019	8.13909	10.72	15.1603	5.12644	5.1737	4.85435	4.67594	10.2831	13.5654	5.10222	5.79468	5.14366	3.4647	11.6703	13.1812	6.8699	9.16331	7.54369	7.67261	9.85207	14.5846
K00064	13.6797	14.971	12.7494	13.6822	16.0223	16.1801	5.3096	7.16518	5.02474	13.1879	13.6297	6.98836	6.22749	4.93465	4.12989	8.80684	10.0305	7.41473	6.27172	6.86229	5.11034	7.31514	7.72477	6.73781	3.69293	6.93432	5.46532	9.6479	10.4861	9.65483	7.46219	7.97861	4.01415	10.3747	12.2289	8.43517	9.69854	7.37222	3.73923	10.5526	10.6606	13.0508	8.23329	7.05896	5.36727
K00065	9.243	8.22263	11.4414	8.21913	10.8846	9.09257	8.16614	10.695	16.3922	12.4836	13.6452	11.5838	6.62367	12.7377	12.3165	8.68136	9.56745	3.0968	6.75042	6.87977	9.85536	10.4634	9.69647	5.96015	4.5118	7.93025	9.33348	11.2656	10.6665	8.32058	6.5103	9.22171	7.11228	10.9769	9.84693	9.04406	7.38063	8.50622	6.98184	13.6493	9.79588	11.19	7.18366	9.03251	7.38849
K00066	0.449458	0.764553	2.07238	0	0.873294	0.0919683	1.54305	3.16218	1.86119	0.803449	0.609309	1.57972	2.17724	1.46507	1.43235	0.976674	0	0.645481	1.06861	2.16673	0.19537	0	0.793486	0.71103	0.702134	3.40782	1.7438	0.609962	0	0.692288	0.962656	1.96282	2.29943	0.868825	0.882731	0.675482	0.665037	2.41152	1.69493	0.64697	0.697985	0.806794	1.59447	1.52097	3.0076
K00067	38.6024	40.5663	48.328	43.6411	41.579	39.3792	55.3026	62.8329	106.516	49.0032	42.8967	64.8653	66.5707	76.7532	89.2672	76.7597	39.5677	56.9333	54.5747	57.095	78.2756	43.5364	50.0456	42.442	69.9106	69.5595	77.4142	33.6597	34.0541	37.8049	48.1651	32.4302	59.9822	37.0947	35.1025	41.5965	63.3654	45.5117	42.5046	36.6878	51.8901	43.9719	46.8051	50.3406	61.1085
K00068	0	0	1.49165	0	0	0.835604	0.698989	1.19841	0.689176	0	1.12996	1.31655	0.994132	0.733476	1.13951	0	0	0	1.31935	0.634701	1.12306	0	0	0	0.741956	0.905794	1.18526	0	0.682858	0.554729	0	1.58478	0.863325	0.478536	0	0	0.65865	0.810325	0.769566	0.402535	0	0.466154	0.866045	0.647722	1.0175
K00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612065	0	0	0	0	0	0	0	0	0	0	0	0	0.564232
K00074	15.3078	10.5861	30.1481	15.3216	15.1153	15.1339	30.0343	27.8112	17.1143	19.4492	23.5415	29.0418	33.1469	24.9508	28.0798	7.47267	10.5068	6.69261	26.2275	28.7741	50.6929	19.9739	15.2675	14.1244	28.495	29.7454	27.2324	23.53	17.0724	21.2601	20.538	29.0646	38.0493	13.6585	16.3547	20.8804	23.9635	34.0715	39.8472	39.7958	37.8149	23.2591	29.0952	36.6234	42.9407
K00075	154.003	171.388	106.922	203.716	175.798	160.561	64.2308	47.4292	63.305	156.708	154.519	97.0193	76.9724	65.4161	62.0365	249.395	165.63	276.786	113.056	61.4051	83.7812	160.149	203.177	183.828	128.167	54.8619	61.3001	162.915	131.659	121.397	74.7156	52.2783	64.1154	146.36	155.689	144.962	128.265	53.3175	61.9625	126.85	115.87	146.5	78.089	85.2616	63.655
K00076	3.73352	3.71828	3.49001	2.86528	3.86121	3.82976	0.832832	0	1.49727	3.44707	3.14883	0.607743	0	0.432502	1.06087	1.84188	2.39248	1.22944	1.4142	1.2015	0.716196	8.34076	2.28161	3.31802	3.1596	0.774674	1.30328	6.03066	3.71968	6.49128	0.93379	0.44653	6.05457	4.36281	4.41442	3.16449	2.33856	2.36464	6.74272	8.49695	7.20729	4.40028	3.88946	3.25541	6.70113
K00077	24.2574	12.6418	18.1477	17.6852	18.3424	23.692	14.4846	15.3384	36.2642	29.1019	18.351	20.6797	19.3021	23.5908	30.6545	7.35584	9.869	2.72576	7.42343	12.4878	47.3644	11.9142	11.6261	11.0034	3.85736	11.7591	17.9768	10.2907	16.9477	11.6987	2.45956	8.76139	13.4997	15.5261	16.4014	12.4942	10.9426	11.4414	11.1665	17.1375	10.9826	16.1624	10.9034	10.9588	16.392
K00082	71.0739	61.4914	2.64795	117.567	66.4996	63.8737	2.38578	1.19607	4.55589	46.7391	36.2392	1.41109	0	0.451291	0.157895	69.7191	107.264	130.515	8.14557	3.43018	5.24813	66.7234	80.3972	88.0348	12.2035	1.29746	5.72183	65.5408	44.9512	54.5295	14.2048	1.40202	0.563935	33.8281	34.8181	56.4046	23.4711	2.07454	4.74978	16.8049	12.7965	18.9832	8.22396	4.85297	0.6262
K00083	0	0	0.238031	0	0	0	0.320542	0.114893	0.0642765	0.625546	0.318952	0.101453	0.183351	0	0.183578	0.0896769	0.219285	0.108245	0.328925	0.661238	1.88468	0.315576	0.918902	0.695625	0.113449	1.42268	0.662746	0.0974139	1.14798	0.894818	0	0.2491	0.886081	0.136106	0.964038	0.518668	0	0.494493	0.939224	0	1.22297	0.934047	0.174852	0.41641	1.46942
K00087	0	0	0	0	0	0	0.211428	0.510612	0.160538	0.133327	0	0.118394	0.176917	0.378097	0.669707	0	0	0	0	0.294382	0	0	0	0	0	0.090539	0	0	0	0.0905695	0	0.527463	0.324517	0	0	0	0	1.3934	0.585902	0.0587676	0	0	0.177933	0.488906	0.622176
K00088	140.213	154.79	112.245	145.863	148.787	142.841	115.592	189.744	261.514	153.552	137.606	100.302	102.681	178.356	201.871	157.425	209.304	140.718	69.2912	154.561	186.721	172.039	152.658	129.758	81.2448	190.139	224.833	161.685	156.695	135.007	94.3045	95.8355	216.329	128.121	128.718	138.76	102.793	120.544	174.367	122.407	120.788	127.773	107.29	133.98	216.437
