# Gene Family	sample01.1.prinseq_CPM	sample02.1.prinseq_CPM	sample03.1.prinseq_CPM	sample04.1.prinseq_CPM	sample05.1.prinseq_CPM	sample06.1.prinseq_CPM	sample07.1.prinseq_CPM	sample08.1.prinseq_CPM	sample09.1.prinseq_CPM	sample10.1.prinseq_CPM	sample11.1.prinseq_CPM	sample12.1.prinseq_CPM	sample13.1.prinseq_CPM	sample14.1.prinseq_CPM	sample15.1.prinseq_CPM	sample16.1.prinseq_CPM	sample17.1.prinseq_CPM	sample18.1.prinseq_CPM	sample19.1.prinseq_CPM	sample20.1.prinseq_CPM	sample21.1.prinseq_CPM	sample22.1.prinseq_CPM	sample23.1.prinseq_CPM	sample24.1.prinseq_CPM	sample25.1.prinseq_CPM	sample26.1.prinseq_CPM	sample27.1.prinseq_CPM	sample28.1.prinseq_CPM	sample29.1.prinseq_CPM	sample30.1.prinseq_CPM	sample31.1.prinseq_CPM	sample32.1.prinseq_CPM	sample33.1.prinseq_CPM	sample34.1.prinseq_CPM	sample35.1.prinseq_CPM	sample36.1.prinseq_CPM	sample37.1.prinseq_CPM	sample38.1.prinseq_CPM	sample39.1.prinseq_CPM	sample40.1.prinseq_CPM	sample41.1.prinseq_CPM	sample42.1.prinseq_CPM	sample43.1.prinseq_CPM	sample44.1.prinseq_CPM	sample45.1.prinseq_CPM
K12542	1.27494	0.0472866	4.473	0.31145	0.100394	2.08732	4.13387	1.41159	2.0485	1.27978	0.498619	0.604237	0.847237	0.992687	0.892384	0.440428	1.78456	0.0955412	2.93611	1.1283	4.33617	1.99923	1.08474	0.703926	0.535079	2.07383	1.39689	5.98458	2.02722	2.35662	0.1937	3.53117	4.9482	3.4456	1.56481	3.97283	4.43412	3.55215	4.68456	12.4518	6.21119	4.46868	2.78642	2.51502	7.67866
K12543	0	0.0476105	0.0908969	0.127727	0	0.089376	0	0	0.249862	0	0	0.0762356	0	0.192422	0.420906	0	0.0763523	0.087247	0	0.0672585	0.255172	0.0561346	0.104635	2.00626	0	0.19571	0.513285	0	0.770231	1.48617	0	0.925114	1.23983	0	0.326744	0.103886	0.10852	0.283347	1.52994	0	2.98247	0.814656	0.0752301	1.09435	2.38766
K12545	0	0	0	0	0	0	0	0	0	0	0.193708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12556	0	0.0295379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12573	24.5456	18.9181	24.944	10.5902	9.97291	12.4954	6.45411	5.25556	15.6253	13.8916	11.8138	22.9495	11.6465	10.3673	17.3238	6.81164	7.879	4.40519	10.6368	10.0238	54.7667	18.3512	15.7627	9.6876	8.2731	11.5829	20.249	20.273	18.4815	14.4821	13.1721	11.9998	19.2113	16.2968	20.4535	10.1016	11.0255	12.0362	17.8077	36.9517	18.0423	25.3654	14.0191	18.2025	18.8617
K12574	113.93	137.143	107.704	109.603	143.293	120.778	76.4632	70.171	101.06	156.36	126.64	94.7993	85.7962	76.3567	80.1712	207.524	126.261	115.235	82.1033	55.291	66.6093	143.683	125.194	102.709	111.978	77.1633	78.0105	141.555	135.963	90.393	96.8012	50.6399	69.8348	158.451	139.944	138.711	119.515	59.2695	61.1445	144.036	133.418	153.29	101.745	86.5394	77.6599
K12583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237466	0	0	0	0.16746	0.0726679	4.97612	0.601735	0.790075	0.197797	0.749453	0.0836431	2.35987	1.27125	1.88789	1.93012	2.73396	5.2961	0.185933	2.33849	2.22844	1.2502	2.89721	6.63024	4.72827	5.18751	3.14647	0.234934	4.57191	6.51192
K12589	0	0	18.2596	0	0	0	50.5759	94.0789	130.225	0.909025	4.90706	39.3903	57.7226	92.8249	106.781	0	0	0	14.9412	66.4721	67.552	0	0	0	11.7027	91.3839	109.321	0	0	0	12.7355	20.7223	78.2008	0	0	0	5.29737	36.4905	54.07	0	4.49654	0	19.6844	40.8648	87.5909
K12600	1.81524	1.68029	2.79187	2.19674	2.15009	2.27238	1.97838	3.31887	2.92185	1.65416	1.89885	2.59931	2.41778	3.39382	3.67809	1.72349	2.44489	1.39795	1.89814	2.3416	2.42941	1.32226	1.49163	1.19487	1.53467	2.79669	2.94342	1.82835	2.08727	1.7069	1.24043	0.959002	2.22958	1.79862	1.85175	1.4816	1.78789	1.979	1.88549	1.33644	1.73329	1.84263	1.54628	2.38144	2.79845
K12604	0	0	0	0	0	0	0	0	0	0	0	0	0.0161727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0527862	0	0	0	0	0	0	0	0	0	0	0	0	0
K12614	0	0	0.0836665	0	0	0	0	0	0	0	0.0747159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12619	0	0	0	0	0	0	0	0	0	0	0.0309523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141333	0	0	0	0	0	0	0
