Sample label [TARA_station#_environmental-feature_size-fraction]	PANGAEA Sample ID	Sample label [TARA_station#_environmental-feature_size-fraction]	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	category_latitude	category_temperature	category_redsea
TARA_133_SRF_0.22-3	TARA_B100001093	TARA_133_SRF_0.22-3	10/18/11 18:58	35.41	-127.74	5.5	19.2	33.1	224.4	-0.7	0.0	0.29	0.02	1.91		-0.16	0.03		40.67	10	42	38	29.0	635.0	79.0	2816.0	422.0	4003.0	3852.0	6.71	7.15	15279.0	0.742	1000349.0	169828.0	1170177.0	6068.0	13.0	subtropical	temperate	False
TARA_137_SRF_0.22-3	TARA_B100001287	TARA_137_SRF_0.22-3	12/2/11 14:10	14.2	-116.63	5.4	26.4	33.9	195.1	3.2	0.07	0.46	2.44	2.54	33.6	0.05	0.03		2.67	17	40	38	29.0	364.0	46.0	2330.0	374.0	3365.0	3220.0	6.61	7.13	13939.0	0.747	755425.0	273894.0	1029319.0	10134.0	12.0	tropical	tropical	False
TARA_138_SRF_0.22-3	TARA_B100001989	TARA_138_SRF_0.22-3	12/10/11 13:58	6.33	-102.94	5.4	26.6	33.4	196.9	-1.2	0.0	0.16	0.0	1.19	40.6	-0.11	0.04		1.61	24	50	48	28.0	347.0	55.0	2661.0	436.0	4306.0	4212.0	6.51	7.12	17717.0	0.728	394198.0	222835.0	617033.0	1567.0	15.0	tropical	tropical	False
TARA_140_SRF_0.22-3	TARA_B100002019	TARA_140_SRF_0.22-3	12/21/11 16:25	7.41	-79.3	5.4	26.6	28.9	205.3	-3.8	0.0	0.08	0.0	0.54	27.9	0.22	0.36		0.0	4	26	42	29.0	288.0	48.0	2919.0	459.0	4459.0	4420.0	6.73	7.19	17614.0	0.735	867923.0	264990.0	1132914.0	5808.0	13.0	tropical	tropical	False
TARA_141_SRF_0.22-3	TARA_B100001939	TARA_141_SRF_0.22-3	12/30/11 12:56	9.85	-80.04	5.4	27.1	34.3	195.5	-1.7	0.0	0.01	0.0	2.93	35.9	0.34	0.16		0.0	5	40	66	29.0	395.0	218.0	2904.0	466.0	4633.0	4527.0	6.68	7.23	16828.0	0.743	439099.0	139450.0	578549.0	2277.0	10.0	tropical	tropical	False
TARA_142_SRF_0.22-3	TARA_B100002051	TARA_142_SRF_0.22-3	1/9/12 12:41	25.51	-88.38	5.4	25.0	36.2	194.3	-2.2	0.02	0.0	0.05	1.22		-3.49	0.06		43.44	142	50	151	244.0	485.0	271.0	2942.0	466.0	4605.0	4424.0	6.73	7.19	17734.0	0.735	436017.0	89629.0	525647.0	1597.0	11.0	subtropical	tropical	False
TARA_145_SRF_0.22-3	TARA_B100001142	TARA_145_SRF_0.22-3	2/2/12 12:02	39.23	-70.03	5.5	14.1	35.2	233.9	3.5	0.11	0.35	4.38	2.77		-0.16	0.05		17.22	89	19	109	695.0	198.0	191.0	3373.0	483.0	4571.0	4398.0	6.76	7.16	14527.0	0.747	374730.0	22789.0	397520.0	7749.0	10.0	subtropical	temperate	False
TARA_146_SRF_0.22-3	TARA_B100001540	TARA_146_SRF_0.22-3	2/15/12 12:59	34.68	-71.3	11.7	19.1	36.5	214.4	0.9	0.22	0.02	0.74	0.94		-2.38	0.08		83.42	187	46	204	297.0	610.0	395.0	2967.0	459.0	4362.0	4198.0	6.55	7.15	15917.0	0.739	338145.0	27459.0	365604.0	4165.0	11.0	subtropical	temperate	False
TARA_148_SRF_0.22-3	TARA_B100001741	TARA_148_SRF_0.22-3	2/24/12 11:41	31.7	-64.25	6.1	20.4	36.6	212.6		0.09	0.0	0.15	0.73		0.01	0.03		1.19	64	38	176	29.0	262.0	318.0	2900.0	452.0	4282.0	4067.0	6.75	7.17	15943.0	0.741	318391.0	45701.0	364093.0	1911.0	10.0	subtropical	tropical	False
TARA_149_SRF_0.22-3	TARA_B100001758	TARA_149_SRF_0.22-3	3/1/12 11:55	34.1	-49.89	5.5	18.7	36.4	220.2	-1.2	0.25	0.06	0.68	0.8	13.8	0.21	0.05		0.0	113	30	162	29.0	755.0	732.0	2962.0	445.0	4325.0	4069.0	6.71	7.14	15146.0	0.742	379018.0	54719.0	433737.0	7375.0	10.0	subtropical	temperate	False
